_id,טבלה,סמל_ישוב,שם_ישוב,שם_ישוב_לועזי,סמל_נפה,שם_נפה,סמל_לשכת_מנא,לשכה,סמל_מועצה_איזורית,שם_מועצה
122,טבלת ישובים    ,71,אשבול                    ,ESHBOL                   ,62,באר שבע             ,62,באר שבע                  ,42,מרחבים
123,טבלת ישובים    ,1276,אשבל                     ,NAHAL ESHBAL             ,24,עכו                 ,20,כרמיאל                   ,56,משגב
124,טבלת ישובים    ,70,אשדוד                    ,ASHDOD                   ,61,אשקלון              ,69,אשדוד                    ,0,
125,טבלת ישובים    ,199,אשדות יעקב  )איחוד(      ,ASHDOT YA'AQOV(IHUD)     ,22,כנרת                ,22,טבריה                    ,6,עמק הירדן
126,טבלת ישובים    ,188,אשדות יעקב  )מאוחד(      ,ASHDOT YA'AQOV(ME'UH     ,22,כנרת                ,22,טבריה                    ,6,עמק הירדן
127,טבלת ישובים    ,1188,אשחר                     ,ESHHAR                   ,24,עכו                 ,20,כרמיאל                   ,56,משגב
128,טבלת ישובים    ,3722,אשכולות                  ,ESHKOLOT                 ,77,חברון               ,11,ירושלים                  ,78,הר חברון
129,טבלת ישובים    ,2021,אשל הנשיא                ,ESHEL HANASI             ,62,באר שבע             ,62,באר שבע                  ,42,מרחבים
130,טבלת ישובים    ,1152,אשלים                    ,ASHALIM                  ,62,באר שבע             ,62,באר שבע                  ,48,רמת נגב
131,טבלת ישובים    ,7100,אשקלון                   ,ASHQELON                 ,61,אשקלון              ,61,אשקלון                   ,0,
132,טבלת ישובים    ,1256,אשרת                     ,ASHERAT                  ,24,עכו                 ,24,עכו                      ,4,מטה אשר
133,טבלת ישובים    ,740,אשתאול                   ,ESHTA'OL                 ,11,ירושלים             ,13,בית שמש                  ,26,מטה יהודה
134,טבלת ישובים    ,1298,אתגר                     ,ETGAR                    ,24,עכו                 ,20,כרמיאל                   ,56,משגב
135,טבלת ישובים    ,6000,באקה אל-גרביה            ,BAQA AL-GHARBIYYE        ,32,חדרה                ,32,חדרה                     ,0,
136,טבלת ישובים    ,21,באר אורה                 ,BE'ER ORA                ,62,באר שבע             ,63,אילת                     ,53,חבל אילות
137,טבלת ישובים    ,1376,באר גנים                 ,BEER GANNIM              ,62,באר שבע             ,61,אשקלון                   ,36,חוף אשקלון
138,טבלת ישובים    ,155,באר טוביה                ,BE'ER TUVEYA             ,61,אשקלון              ,61,אשקלון                   ,33,באר טוביה
139,טבלת ישובים    ,2530,באר יעקב                 ,BE'ER YA'AQOV            ,43,רמלה                ,43,רמלה                     ,0,
140,טבלת ישובים    ,1278,באר מילכה                ,BE'ER MILKA              ,62,באר שבע             ,62,באר שבע                  ,48,רמת נגב
141,טבלת ישובים    ,9000,באר שבע                  ,BE'ER SHEVA              ,62,באר שבע             ,62,באר שבע                  ,0,
142,טבלת ישובים    ,450,בארות יצחק               ,BE'EROT YIZHAQ           ,42,פתח תקווה           ,42,פתח תקוה                 ,25,חבל מודיעין
143,טבלת ישובים    ,697,בארותיים                 ,BE'EROTAYIM              ,41,השרון               ,41,נתניה                    ,16,עמק חפר
144,טבלת ישובים    ,399,בארי                     ,BE'ERI                   ,62,באר שבע             ,62,באר שבע                  ,38,אשכול
145,טבלת ישובים    ,559,בוסתן הגליל              ,BUSTAN HAGALIL           ,24,עכו                 ,24,עכו                      ,4,מטה אשר
146,טבלת ישובים    ,482,בועיינה-נוג'ידאת         ,BU'EINE-NUJEIDAT         ,25,נצרת                ,25,נצרת עילית               ,0,
147,טבלת ישובים    ,4001,בוקעאתא                  ,BUQ'ATA                  ,29,גולן                ,21,צפת                      ,0,
148,טבלת ישובים    ,698,בורגתה                   ,BURGETA                  ,41,השרון               ,41,נתניה                    ,16,עמק חפר
149,טבלת ישובים    ,2043,בחן                      ,BAHAN                    ,41,השרון               ,41,נתניה                    ,16,עמק חפר
150,טבלת ישובים    ,762,בטחה                     ,BITHA                    ,62,באר שבע             ,62,באר שבע                  ,42,מרחבים
151,טבלת ישובים    ,234,ביצרון                   ,BIZZARON                 ,61,אשקלון              ,61,אשקלון                   ,33,באר טוביה
152,טבלת ישובים    ,998,ביר אל-מכסור             ,BIR EL-MAKSUR            ,24,עכו                 ,25,נצרת עילית               ,0,
153,טבלת ישובים    ,1348,ביר הדאג'                ,BIR HADAGE               ,62,באר שבע             ,62,באר שבע                  ,68,נווה מדבר
154,טבלת ישובים    ,368,ביריה                    ,BIRIYYA                  ,21,צפת                 ,21,צפת                      ,2,מרום הגליל
155,טבלת ישובים    ,317,בית אורן                 ,BET OREN                 ,32,חדרה                ,32,חדרה                     ,15,חוף הכרמל
156,טבלת ישובים    ,3574,בית אל                   ,BET EL                   ,74,ראמאללה             ,11,ירושלים                  ,0,
157,טבלת ישובים    ,562,בית אלעזרי               ,BET EL'AZARI             ,44,רחובות              ,44,רחובות                   ,28,ברנר
158,טבלת ישובים    ,95,בית אלפא                 ,BET ALFA                 ,23,עפולה               ,23,עפולה                    ,8,הגלבוע
159,טבלת ישובים    ,3652,בית אריה                 ,BET ARYE                 ,74,ראמאללה             ,349,ראש העין                 ,0,
160,טבלת ישובים    ,1076,בית ברל                  ,BET BERL                 ,42,פתח תקווה           ,47,כפר סבא                  ,20,דרום השרון
161,טבלת ישובים    ,480,בית ג'ן                  ,BEIT JANN                ,24,עכו                 ,20,כרמיאל                   ,0,
162,טבלת ישובים    ,619,בית גוברין               ,BET GUVRIN               ,61,אשקלון              ,61,אשקלון                   ,35,יואב
163,טבלת ישובים    ,571,בית גמליאל               ,BET GAMLI'EL             ,44,רחובות              ,44,רחובות                   ,29,חבל יבנה
164,טבלת ישובים    ,466,בית דגן                  ,BET DAGAN                ,43,רמלה                ,43,רמלה                     ,0,
165,טבלת ישובים    ,723,בית הגדי                 ,BET HAGADDI              ,62,באר שבע             ,62,באר שבע                  ,39,שדות נגב
166,טבלת ישובים    ,373,בית הלוי                 ,BET HALEVI               ,41,השרון               ,41,נתניה                    ,16,עמק חפר
167,טבלת ישובים    ,322,בית הלל                  ,BET HILLEL               ,21,צפת                 ,21,צפת                      ,55,מבואות החרמון
168,טבלת ישובים    ,572,בית העמק                 ,BET HAEMEQ               ,24,עכו                 ,24,עכו                      ,4,מטה אשר
169,טבלת ישובים    ,3645,בית הערבה                ,BET HAARAVA              ,75,ירדן )יריחו(        ,11,ירושלים                  ,74,מגילות ים המלח
170,טבלת ישובים    ,242,בית השיטה                ,BET HASHITTA             ,23,עפולה               ,23,עפולה                    ,8,הגלבוע
171,טבלת ישובים    ,353,בית זיד                  ,BET ZEID                 ,23,עפולה               ,23,עפולה                    ,9,עמק יזרעאל
172,טבלת ישובים    ,710,בית זית                  ,BET ZAYIT                ,11,ירושלים             ,11,ירושלים                  ,26,מטה יהודה
173,טבלת ישובים    ,143,בית זרע                  ,BET ZERA                 ,22,כנרת                ,22,טבריה                    ,6,עמק הירדן
174,טבלת ישובים    ,3575,בית חורון                ,BET HORON                ,74,ראמאללה             ,11,ירושלים                  ,73,מטה בנימין
175,טבלת ישובים    ,877,בית חירות                ,BET HERUT                ,41,השרון               ,41,נתניה                    ,16,עמק חפר
176,טבלת ישובים    ,2033,בית חלקיה                ,BET HILQIYYA             ,44,רחובות              ,44,רחובות                   ,31,נחל שורק
177,טבלת ישובים    ,159,בית חנן                  ,BET HANAN                ,44,רחובות              ,44,רחובות                   ,27,גן רווה
178,טבלת ישובים    ,800,בית חנניה                ,BET HANANYA              ,32,חדרה                ,32,חדרה                     ,15,חוף הכרמל
179,טבלת ישובים    ,1050,בית חשמונאי              ,BET HASHMONAY            ,43,רמלה                ,43,רמלה                     ,30,גזר
180,טבלת ישובים    ,288,בית יהושע                ,BET YEHOSHUA             ,41,השרון               ,41,נתניה                    ,19,חוף השרון
181,טבלת ישובים    ,265,בית יוסף                 ,BET YOSEF                ,23,עפולה               ,23,עפולה                    ,7,עמק המעיינות
182,טבלת ישובים    ,200,בית ינאי                 ,BET YANNAY               ,41,השרון               ,41,נתניה                    ,16,עמק חפר
183,טבלת ישובים    ,326,בית יצחק-שער חפר         ,BET YIZHAQ-SH. HEFER     ,41,השרון               ,41,נתניה                    ,16,עמק חפר
184,טבלת ישובים    ,430,בית לחם הגלילית          ,BET LEHEM HAGELILIT      ,23,עפולה               ,23,עפולה                    ,9,עמק יזרעאל
185,טבלת ישובים    ,751,בית מאיר                 ,BET ME'IR                ,11,ירושלים             ,13,בית שמש                  ,26,מטה יהודה
186,טבלת ישובים    ,784,בית נחמיה                ,BET NEHEMYA              ,43,רמלה                ,43,רמלה                     ,25,חבל מודיעין
187,טבלת ישובים    ,16,בית ניר                  ,BET NIR                  ,61,אשקלון              ,61,אשקלון                   ,35,יואב
188,טבלת ישובים    ,672,בית נקופה                ,BET NEQOFA               ,11,ירושלים             ,11,ירושלים                  ,26,מטה יהודה
189,טבלת ישובים    ,202,בית עובד                 ,BET OVED                 ,44,רחובות              ,44,רחובות                   ,27,גן רווה
190,טבלת ישובים    ,301,בית עוזיאל               ,BET UZZI'EL              ,43,רמלה                ,43,רמלה                     ,30,גזר
191,טבלת ישובים    ,756,בית עזרא                 ,BET EZRA                 ,61,אשקלון              ,61,אשקלון                   ,33,באר טוביה
